Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),#MatchedPoints,MatchingTime(ms))
SHITOMASI,BRISK,0,1370,125,22.625,1.136,0,0
SHITOMASI,BRISK,1,1301,118,18.131,0.986,95,0.315
SHITOMASI,BRISK,2,1361,123,10.651,2.501,88,0.173
SHITOMASI,BRISK,3,1358,120,16.886,2.464,80,0.167
SHITOMASI,BRISK,4,1333,120,17.112,2.549,90,0.159
SHITOMASI,BRISK,5,1284,113,17.424,2.488,82,0.156
SHITOMASI,BRISK,6,1322,114,17.324,2.449,79,0.163
SHITOMASI,BRISK,7,1366,123,15.04,1.013,85,0.182
SHITOMASI,BRISK,8,1389,111,10.792,2.48,86,0.156
SHITOMASI,BRISK,9,1339,112,16.976,2.461,82,0.21
,,,,,,,,
SHITOMASI,BRIEF,0,1370,125,14.638,0.454,0,0
SHITOMASI,BRIEF,1,1301,118,8.823,0.424,115,0.188
SHITOMASI,BRIEF,2,1361,123,7.499,0.566,111,0.172
SHITOMASI,BRIEF,3,1358,120,7.489,1.6,104,0.298
SHITOMASI,BRIEF,4,1333,120,17.338,0.429,101,0.146
SHITOMASI,BRIEF,5,1284,113,7.906,0.407,102,0.16
SHITOMASI,BRIEF,6,1322,114,7.423,0.425,102,0.163
SHITOMASI,BRIEF,7,1366,123,7.443,0.432,100,0.167
SHITOMASI,BRIEF,8,1389,111,7.609,0.41,109,0.166
SHITOMASI,BRIEF,9,1339,112,7.517,0.455,100,0.159
,,,,,,,,
SHITOMASI,ORB,0,1370,125,8.178,0.788,0,0
SHITOMASI,ORB,1,1301,118,9.735,0.674,106,0.168
SHITOMASI,ORB,2,1361,123,7.656,0.677,102,0.169
SHITOMASI,ORB,3,1358,120,7.54,0.744,99,0.164
SHITOMASI,ORB,4,1333,120,7.973,0.696,102,0.156
SHITOMASI,ORB,5,1284,113,17.392,0.675,103,0.16
SHITOMASI,ORB,6,1322,114,7.886,0.727,97,0.159
SHITOMASI,ORB,7,1366,123,15.645,0.718,98,0.192
SHITOMASI,ORB,8,1389,111,7.734,0.721,104,0.166
SHITOMASI,ORB,9,1339,112,9.641,0.707,97,0.151
,,,,,,,,
SHITOMASI,FREAK,0,1370,125,7.689,28.937,0,0
SHITOMASI,FREAK,1,1301,118,7.553,27.792,86,0.164
SHITOMASI,FREAK,2,1361,123,18.728,27.682,90,0.188
SHITOMASI,FREAK,3,1358,120,7.933,30.111,86,0.216
SHITOMASI,FREAK,4,1333,120,7.766,27.85,88,0.156
SHITOMASI,FREAK,5,1284,113,17.441,28.77,86,0.179
SHITOMASI,FREAK,6,1322,114,7.736,27.79,80,0.166
SHITOMASI,FREAK,7,1366,123,8.459,27.869,81,0.173
SHITOMASI,FREAK,8,1389,111,7.844,27.762,86,0.151
SHITOMASI,FREAK,9,1339,112,7.921,27.605,85,0.161
,,,,,,,,
SHITOMASI,AKAZE,0,0,0,0,0,0,0
SHITOMASI,AKAZE,1,0,0,0,0,0,0
SHITOMASI,AKAZE,2,0,0,0,0,0,0
SHITOMASI,AKAZE,3,0,0,0,0,0,0
SHITOMASI,AKAZE,4,0,0,0,0,0,0
SHITOMASI,AKAZE,5,0,0,0,0,0,0
SHITOMASI,AKAZE,6,0,0,0,0,0,0
SHITOMASI,AKAZE,7,0,0,0,0,0,0
